Model,Existence,Count,Position,Color,Poster,Celebrity,Scene,Landmark,Artwork,OCR,Commensense Reasoning,Numerical Calculation,Text Translation,Code Reasoning
GIT2,190.00 ,118.33 ,96.67 ,158.33 ,112.59 ,145.88 ,158.50 ,140.50 ,146.25 ,65.00 ,99.29 ,50.00 ,67.50 ,45.00 
BLIVA,180.00 ,138.33 ,81.67 ,180.00 ,155.10 ,140.88 ,151.50 ,89.50 ,133.25 ,87.50 ,136.43 ,57.50 ,77.50 ,60.00 
Skywork-MM,180.00 ,151.67 ,63.33 ,145.00 ,175.85 ,160.29 ,138.89 ,127.04 ,114.51 ,162.50 ,126.43 ,95.00 ,80.00 ,55.00 
Qwen-VL-Chat,158.33 ,150.00 ,128.33 ,170.00 ,178.57 ,120.59 ,152.25 ,164.00 ,125.50 ,140.00 ,130.71 ,40.00 ,147.50 ,42.50 
InternLM-XComposer-VL,190.00 ,158.33 ,126.67 ,165.00 ,161.90 ,150.29 ,159.75 ,165.25 ,126.25 ,125.00 ,138.57 ,55.00 ,112.50 ,85.00 
Lion,190.00 ,155.00 ,153.33 ,180.00 ,181.63 ,150.59 ,159.00 ,173.00 ,130.75 ,72.50 ,125.71 ,105.00 ,147.50 ,67.50 
WeMM,195.00 ,140.00 ,126.67 ,168.33 ,160.54 ,179.12 ,176.25 ,172.25 ,156.00 ,147.50 ,140.00 ,57.50 ,130.00 ,117.50 
Muffin,195.00 ,163.33 ,66.67 ,165.00 ,137.76 ,81.76 ,151.25 ,146.25 ,116.50 ,57.50 ,110.00 ,45.00 ,72.50 ,62.50 
GPT-4V,190.00 ,160.00 ,95.00 ,150.00 ,192.18 ,0.00 ,151.00 ,138.25 ,148.00 ,185.00 ,142.14 ,130.00 ,75.00 ,170.00 
SPHINX,195.00 ,160.00 ,153.33 ,160.00 ,164.29 ,177.94 ,160.00 ,168.09 ,134.00 ,87.50 ,130.00 ,55.00 ,75.00 ,50.00 
mPLUG-Owl2,185.00 ,155.00 ,88.33 ,150.00 ,160.20 ,164.41 ,153.25 ,157.25 ,134.25 ,102.50 ,115.71 ,35.00 ,102.50 ,60.00 
InfMLLM,195.00 ,145.00 ,170.00 ,195.00 ,183.33 ,164.41 ,176.75 ,166.75 ,167.50 ,110.00 ,156.43 ,60.00 ,77.50 ,75.00 
CVLM,185.00 ,155.00 ,178.33 ,185.00 ,162.24 ,155.88 ,162.75 ,169.50 ,127.75 ,155.00 ,131.43 ,137.50 ,147.50 ,72.50 
LVIS-INSTRUCT4V,195.00 ,160.00 ,128.33 ,180.00 ,162.59 ,161.47 ,163.25 ,161.50 ,130.25 ,132.50 ,134.29 ,40.00 ,70.00 ,42.50 
ShareGPT4V,190.00 ,165.00 ,153.33 ,185.00 ,169.05 ,153.82 ,168.00 ,174.00 ,128.00 ,132.50 ,125.71 ,45.00 ,80.00 ,52.50 
DataOptim-LLaVA,190.00 ,165.00 ,121.67 ,155.00 ,169.73 ,159.41 ,166.50 ,160.00 ,113.75 ,162.50 ,123.57 ,47.50 ,110.00 ,80.00 
Kanva,195.00 ,156.67 ,185.00 ,160.00 ,140.82 ,145.00 ,179.75 ,184.34 ,167.00 ,152.50 ,72.14 ,50.00 ,50.00 ,45.00 
BELLE-VL,190.00 ,150.00 ,130.00 ,175.00 ,166.33 ,136.76 ,156.25 ,174.00 ,139.50 ,177.50 ,127.14 ,47.50 ,102.50 ,55.00 
TransCore-M,190.00 ,165.00 ,136.67 ,185.00 ,160.20 ,145.29 ,161.00 ,159.25 ,130.75 ,155.00 ,132.14 ,55.00 ,55.00 ,72.50 
AGILMM,185.00 ,153.33 ,138.33 ,180.00 ,169.05 ,196.47 ,191.75 ,196.25 ,185.00 ,147.50 ,138.57 ,57.50 ,192.50 ,60.00 
Monkey-Chat,185.00 ,150.00 ,118.33 ,185.00 ,178.91 ,142.65 ,161.75 ,176.50 ,144.25 ,80.00 ,131.43 ,42.50 ,137.50 ,90.00 
Honeybee,185.00 ,170.00 ,155.00 ,180.00 ,170.07 ,177.06 ,162.00 ,172.25 ,134.75 ,155.00 ,122.86 ,57.50 ,87.50 ,47.50 
Qwen-VL-Plus,175.00 ,153.33 ,161.67 ,180.00 ,181.63 ,184.12 ,151.00 ,191.00 ,156.00 ,147.50 ,142.14 ,85.00 ,185.00 ,90.00 
Gemini Pro,175.00 ,131.67 ,90.00 ,163.33 ,164.97 ,147.35 ,144.75 ,158.75 ,135.75 ,185.00 ,129.29 ,77.50 ,145.00 ,85.00 
RBDash,195.00 ,173.33 ,138.33 ,190.00 ,165.99 ,170.00 ,160.25 ,174.25 ,140.50 ,102.50 ,140.00 ,67.50 ,72.50 ,50.00 
PureMM,188.33 ,150.00 ,123.33 ,170.00 ,191.50 ,182.35 ,162.75 ,172.25 ,183.50 ,162.50 ,137.86 ,45.00 ,92.50 ,85.00 
InternLM-XComposer2-VL,195.00 ,160.00 ,163.33 ,195.00 ,171.09 ,153.82 ,164.75 ,176.00 ,185.50 ,147.50 ,145.71 ,137.50 ,147.50 ,100.00 
Qwen-VL-Max,183.33 ,166.67 ,176.67 ,180.00 ,187.76 ,184.12 ,173.00 ,187.50 ,166.00 ,185.00 ,148.57 ,155.00 ,170.00 ,170.00 
InternVL-Chat-V1.1,185.00 ,173.33 ,163.33 ,190.00 ,161.22 ,154.71 ,155.75 ,168.00 ,143.50 ,177.50 ,123.57 ,70.00 ,102.50 ,45.00 
MoE-LLaVA,180.00 ,155.00 ,118.33 ,190.00 ,99.32 ,147.94 ,154.50 ,148.25 ,105.50 ,132.50 ,117.14 ,50.00 ,57.50 ,37.50 
CogAgent,185.00 ,180.00 ,135.00 ,160.00 ,167.35 ,147.94 ,154.25 ,172.00 ,116.25 ,80.00 ,117.14 ,45.00 ,62.50 ,50.00 
CogVLM,195.00 ,165.00 ,103.33 ,160.00 ,146.94 ,115.29 ,159.25 ,158.00 ,88.75 ,147.50 ,125.71 ,60.00 ,75.00 ,52.50 
LLaVA-1.6,190.00 ,170.00 ,138.33 ,195.00 ,169.39 ,160.00 ,164.50 ,165.25 ,139.00 ,140.00 ,152.14 ,72.50 ,72.50 ,100.00 
MiniCPM,190.00 ,130.00 ,93.33 ,158.33 ,158.50 ,155.59 ,157.75 ,167.75 ,130.75 ,110.00 ,119.29 ,47.50 ,82.50 ,65.00 
OmniLMM,190.00 ,165.00 ,131.67 ,180.00 ,171.43 ,172.06 ,146.25 ,175.25 ,150.25 ,155.00 ,127.14 ,55.00 ,77.50 ,62.50 
ChatTruth-7B,195.00 ,160.00 ,158.33 ,195.00 ,174.15 ,177.65 ,167.75 ,185.75 ,159.75 ,162.50 ,132.86 ,40.00 ,162.50 ,52.50 
Bunny-3B,180.00 ,158.33 ,128.33 ,180.00 ,108.50 ,130.88 ,158.50 ,155.00 ,119.25 ,170.00 ,114.29 ,47.50 ,92.50 ,35.00 
